dates,India.JHU_ConfirmedCases.data,India.JHU_ConfirmedDeaths.data,India.JHU_ConfirmedRecoveries.data
2020-02-15,3.0,0.0,
2020-02-16,3.0,0.0,
2020-02-17,3.0,0.0,
2020-02-18,3.0,0.0,
2020-02-19,3.0,0.0,
2020-02-20,3.0,0.0,
2020-02-21,3.0,0.0,
2020-02-22,3.0,0.0,
2020-02-23,3.0,0.0,
2020-02-24,3.0,0.0,
2020-02-25,3.0,0.0,
2020-02-26,3.0,0.0,
2020-02-27,3.0,0.0,
2020-02-28,3.0,0.0,
2020-02-29,3.0,0.0,
2020-03-01,3.0,0.0,
2020-03-02,5.0,0.0,
2020-03-03,5.0,0.0,
2020-03-04,28.0,0.0,
2020-03-05,30.0,0.0,
2020-03-06,31.0,0.0,
2020-03-07,34.0,0.0,
2020-03-08,39.0,0.0,
2020-03-09,43.0,0.0,
2020-03-10,56.0,0.0,
2020-03-11,62.0,1.0,
2020-03-12,73.0,1.0,
2020-03-13,82.0,2.0,
2020-03-14,102.0,2.0,
2020-03-15,113.0,2.0,
2020-03-16,119.0,2.0,
2020-03-17,142.0,3.0,
2020-03-18,156.0,3.0,
2020-03-19,194.0,4.0,
2020-03-20,244.0,5.0,
2020-03-21,330.0,4.0,
2020-03-22,396.0,7.0,
2020-03-23,499.0,10.0,
2020-03-24,536.0,10.0,
2020-03-25,657.0,12.0,
2020-03-26,727.0,20.0,
2020-03-27,887.0,20.0,
2020-03-28,987.0,24.0,
2020-03-29,1024.0,27.0,
2020-03-30,1251.0,32.0,
2020-03-31,1397.0,35.0,
2020-04-01,1998.0,58.0,
2020-04-02,2543.0,72.0,
2020-04-03,2567.0,72.0,
2020-04-04,3082.0,86.0,
2020-04-05,3588.0,99.0,
2020-04-06,4778.0,136.0,
2020-04-07,5311.0,150.0,
2020-04-08,5916.0,178.0,
2020-04-09,6725.0,226.0,
2020-04-10,7598.0,246.0,
2020-04-11,8446.0,288.0,
2020-04-12,9205.0,331.0,
2020-04-13,10453.0,358.0,
2020-04-14,11487.0,393.0,
2020-04-15,12322.0,405.0,
2020-04-16,13430.0,448.0,
2020-04-17,14352.0,486.0,
2020-04-18,15722.0,521.0,
2020-04-19,17615.0,559.0,
2020-04-20,18539.0,592.0,
2020-04-21,20080.0,645.0,
2020-04-22,21370.0,681.0,
2020-04-23,23077.0,721.0,
2020-04-24,23077.0,721.0,
2020-04-25,26283.0,825.0,
2020-04-26,27890.0,881.0,
2020-04-27,29451.0,939.0,
2020-04-28,31324.0,1008.0,
2020-04-29,33062.0,1079.0,
2020-04-30,34863.0,1154.0,
2020-05-01,37257.0,1223.0,
2020-05-02,39699.0,1323.0,
2020-05-03,42505.0,1391.0,
2020-05-04,46437.0,1566.0,
2020-05-05,49400.0,1693.0,
2020-05-06,52987.0,1785.0,
2020-05-07,56351.0,1889.0,
2020-05-08,59695.0,1985.0,
2020-05-09,62808.0,2101.0,
2020-05-10,67161.0,2212.0,
2020-05-11,70768.0,2294.0,
2020-05-12,74292.0,2415.0,
2020-05-13,78055.0,2551.0,
2020-05-14,81997.0,2649.0,
2020-05-15,85784.0,2753.0,
2020-05-16,90648.0,2871.0,
2020-05-17,95698.0,3025.0,
2020-05-18,100328.0,3156.0,
2020-05-19,106475.0,3302.0,
2020-05-20,112028.0,3434.0,
2020-05-21,118226.0,3584.0,
2020-05-22,124794.0,3726.0,
2020-05-23,131423.0,3868.0,
2020-05-24,138536.0,4024.0,
2020-05-25,144950.0,4172.0,
2020-05-26,150793.0,4344.0,
2020-05-27,158086.0,4534.0,
2020-05-28,165386.0,4711.0,
2020-05-29,173491.0,4980.0,
2020-05-30,181827.0,5185.0,
2020-05-31,190609.0,5408.0,
2020-06-01,198370.0,5608.0,
2020-06-02,207191.0,5829.0,
2020-06-03,216824.0,6088.0,
2020-06-04,226713.0,6363.0,
2020-06-05,236184.0,6649.0,
2020-06-06,246622.0,6946.0,
2020-06-07,257486.0,7207.0,
2020-06-08,265928.0,7473.0,
2020-06-09,276146.0,7750.0,
2020-06-10,277448.0,7745.0,
2020-06-11,298395.0,8498.0,
2020-06-12,298395.0,8498.0,
2020-06-13,309749.0,8884.0,
2020-06-14,321480.0,9195.0,
2020-06-15,343531.0,9900.0,
2020-06-16,354411.0,11903.0,
2020-06-17,367254.0,12237.0,
2020-06-18,380840.0,12573.0,
2020-06-19,395299.0,12948.0,
2020-06-20,410620.0,13254.0,
2020-06-21,425440.0,13699.0,
2020-06-22,440363.0,14011.0,
2020-06-23,456246.0,14476.0,
2020-06-24,473159.0,14894.0,
2020-06-25,490455.0,15301.0,
2020-06-26,509002.0,15685.0,
2020-06-27,528894.0,16095.0,
2020-06-28,548350.0,16475.0,
2020-06-29,561388.0,16705.0,
2020-06-30,585515.0,17400.0,
2020-07-01,599224.0,17627.0,
2020-07-02,625958.0,18213.0,
2020-07-03,648718.0,18655.0,
2020-07-04,673165.0,19268.0,
