dates,Spain.JHU_ConfirmedCases.data,Spain.JHU_ConfirmedDeaths.data,Spain.JHU_ConfirmedRecoveries.data
2020-02-15,2.0,0.0,
2020-02-16,2.0,0.0,
2020-02-17,2.0,0.0,
2020-02-18,2.0,0.0,
2020-02-19,2.0,0.0,
2020-02-20,2.0,0.0,
2020-02-21,2.0,0.0,
2020-02-22,2.0,0.0,
2020-02-23,2.0,0.0,
2020-02-24,2.0,0.0,
2020-02-25,6.0,0.0,
2020-02-26,13.0,0.0,
2020-02-27,15.0,0.0,
2020-02-28,32.0,0.0,
2020-02-29,45.0,0.0,
2020-03-01,84.0,0.0,
2020-03-02,120.0,0.0,
2020-03-03,165.0,1.0,
2020-03-04,222.0,2.0,
2020-03-05,259.0,3.0,
2020-03-06,400.0,5.0,
2020-03-07,500.0,10.0,
2020-03-08,673.0,17.0,
2020-03-09,1073.0,28.0,
2020-03-10,1695.0,35.0,
2020-03-11,2277.0,54.0,
2020-03-12,2277.0,55.0,
2020-03-13,5232.0,133.0,
2020-03-14,6391.0,195.0,
2020-03-15,7798.0,289.0,
2020-03-16,9942.0,342.0,
2020-03-17,11748.0,533.0,
2020-03-18,13910.0,623.0,
2020-03-19,17963.0,830.0,
2020-03-20,20410.0,1043.0,
2020-03-21,25374.0,1375.0,
2020-03-22,28603.0,1756.0,
2020-03-23,35136.0,2311.0,
2020-03-24,39885.0,2808.0,
2020-03-25,49515.0,3647.0,
2020-03-26,57786.0,4365.0,
2020-03-27,65719.0,5138.0,
2020-03-28,73235.0,5982.0,
2020-03-29,80110.0,6803.0,
2020-03-30,87956.0,7716.0,
2020-03-31,95923.0,8464.0,
2020-04-01,104118.0,9387.0,
2020-04-02,112065.0,10348.0,
2020-04-03,119199.0,11198.0,
2020-04-04,126168.0,11947.0,
2020-04-05,131646.0,12641.0,
2020-04-06,136675.0,13341.0,
2020-04-07,141942.0,14045.0,
2020-04-08,148220.0,14792.0,
2020-04-09,153222.0,15447.0,
2020-04-10,158273.0,16081.0,
2020-04-11,163027.0,16606.0,
2020-04-12,166831.0,17209.0,
2020-04-13,170099.0,17756.0,
2020-04-14,172541.0,18056.0,
2020-04-15,177644.0,18708.0,
2020-04-16,184948.0,19315.0,
2020-04-17,190839.0,20002.0,
2020-04-18,191726.0,20043.0,
2020-04-19,198674.0,20453.0,
2020-04-20,200210.0,20852.0,
2020-04-21,204178.0,21282.0,
2020-04-22,208389.0,21717.0,
2020-04-23,213024.0,22157.0,
2020-04-24,213024.0,22157.0,
2020-04-25,223759.0,22902.0,
2020-04-26,226629.0,23190.0,
2020-04-27,229422.0,23521.0,
2020-04-28,232128.0,23822.0,
2020-04-29,236899.0,24275.0,
2020-04-30,213435.0,24543.0,
2020-05-01,213435.0,24543.0,
2020-05-02,216582.0,25100.0,
2020-05-03,217466.0,25264.0,
2020-05-04,218011.0,25428.0,
2020-05-05,219329.0,25613.0,
2020-05-06,220325.0,25857.0,
2020-05-07,221447.0,26070.0,
2020-05-08,222857.0,26299.0,
2020-05-09,223578.0,26478.0,
2020-05-10,224350.0,26621.0,
2020-05-11,227436.0,26744.0,
2020-05-12,228030.0,26920.0,
2020-05-13,228691.0,27104.0,
2020-05-14,229540.0,27321.0,
2020-05-15,230183.0,27459.0,
2020-05-16,230698.0,27563.0,
2020-05-17,230698.0,27563.0,
2020-05-18,231606.0,27709.0,
2020-05-19,232037.0,27778.0,
