dates,KoreaSouth.JHU_ConfirmedCases.data,KoreaSouth.JHU_ConfirmedDeaths.data,KoreaSouth.JHU_ConfirmedRecoveries.data
2020-02-15,28.0,0.0,
2020-02-16,29.0,0.0,
2020-02-17,30.0,0.0,
2020-02-18,31.0,0.0,
2020-02-19,31.0,0.0,
2020-02-20,104.0,1.0,
2020-02-21,204.0,2.0,
2020-02-22,433.0,2.0,
2020-02-23,602.0,6.0,
2020-02-24,833.0,8.0,
2020-02-25,977.0,10.0,
2020-02-26,1261.0,12.0,
2020-02-27,1766.0,13.0,
2020-02-28,2337.0,13.0,
2020-02-29,3150.0,16.0,
2020-03-01,3736.0,17.0,
2020-03-02,4335.0,28.0,
2020-03-03,5186.0,28.0,
2020-03-04,5621.0,35.0,
2020-03-05,6088.0,35.0,
2020-03-06,6593.0,42.0,
2020-03-07,7041.0,44.0,
2020-03-08,7314.0,50.0,
2020-03-09,7478.0,53.0,
2020-03-10,7513.0,54.0,
2020-03-11,7755.0,60.0,
2020-03-12,7869.0,66.0,
2020-03-13,7979.0,66.0,
2020-03-14,8086.0,72.0,
2020-03-15,8162.0,75.0,
2020-03-16,8236.0,75.0,
2020-03-17,8320.0,81.0,
2020-03-18,8413.0,84.0,
2020-03-19,8565.0,91.0,
2020-03-20,8652.0,94.0,
2020-03-21,8799.0,102.0,
2020-03-22,8897.0,104.0,
2020-03-23,8961.0,111.0,
2020-03-24,9037.0,120.0,
2020-03-25,9137.0,126.0,
2020-03-26,9241.0,131.0,
2020-03-27,9332.0,139.0,
2020-03-28,9478.0,144.0,
2020-03-29,9583.0,152.0,
2020-03-30,9661.0,158.0,
2020-03-31,9786.0,162.0,
2020-04-01,9887.0,165.0,
2020-04-02,9976.0,169.0,
2020-04-03,10062.0,174.0,
2020-04-04,10156.0,177.0,
2020-04-05,10237.0,183.0,
2020-04-06,10284.0,186.0,
2020-04-07,10331.0,192.0,
2020-04-08,10384.0,200.0,
2020-04-09,10423.0,204.0,
2020-04-10,10450.0,208.0,
2020-04-11,10480.0,211.0,
2020-04-12,10512.0,214.0,
2020-04-13,10537.0,217.0,
2020-04-14,10564.0,222.0,
2020-04-15,10591.0,225.0,
2020-04-16,10613.0,229.0,
2020-04-17,10635.0,230.0,
2020-04-18,10653.0,232.0,
2020-04-19,10661.0,234.0,
2020-04-20,10674.0,236.0,
2020-04-21,10683.0,237.0,
2020-04-22,10694.0,238.0,
2020-04-23,10708.0,240.0,
2020-04-24,10708.0,240.0,
2020-04-25,10728.0,242.0,
2020-04-26,10738.0,243.0,
2020-04-27,10752.0,244.0,
2020-04-28,10761.0,246.0,
2020-04-29,10765.0,247.0,
