dates,Sweden.JHU_ConfirmedCases.data,Sweden.JHU_ConfirmedDeaths.data,Sweden.JHU_ConfirmedRecoveries.data
2020-02-15,1.0,0.0,
2020-02-16,1.0,0.0,
2020-02-17,1.0,0.0,
2020-02-18,1.0,0.0,
2020-02-19,1.0,0.0,
2020-02-20,1.0,0.0,
2020-02-21,1.0,0.0,
2020-02-22,1.0,0.0,
2020-02-23,1.0,0.0,
2020-02-24,1.0,0.0,
2020-02-25,1.0,0.0,
2020-02-26,2.0,0.0,
2020-02-27,7.0,0.0,
2020-02-28,7.0,0.0,
2020-02-29,12.0,0.0,
2020-03-01,14.0,0.0,
2020-03-02,15.0,0.0,
2020-03-03,21.0,0.0,
2020-03-04,35.0,0.0,
2020-03-05,94.0,0.0,
2020-03-06,101.0,0.0,
2020-03-07,161.0,0.0,
2020-03-08,203.0,0.0,
2020-03-09,248.0,0.0,
2020-03-10,355.0,0.0,
2020-03-11,500.0,1.0,
2020-03-12,599.0,1.0,
2020-03-13,814.0,1.0,
2020-03-14,961.0,2.0,
2020-03-15,1022.0,3.0,
2020-03-16,1103.0,6.0,
2020-03-17,1190.0,7.0,
2020-03-18,1279.0,10.0,
2020-03-19,1439.0,11.0,
2020-03-20,1639.0,16.0,
2020-03-21,1763.0,20.0,
2020-03-22,1931.0,21.0,
2020-03-23,2046.0,25.0,
2020-03-24,2286.0,36.0,
2020-03-25,2526.0,62.0,
2020-03-26,2840.0,77.0,
2020-03-27,3069.0,105.0,
2020-03-28,3447.0,105.0,
2020-03-29,3700.0,110.0,
2020-03-30,4028.0,146.0,
2020-03-31,4435.0,180.0,
2020-04-01,4947.0,239.0,
2020-04-02,5568.0,308.0,
2020-04-03,6131.0,358.0,
2020-04-04,6443.0,373.0,
2020-04-05,6830.0,401.0,
2020-04-06,7206.0,477.0,
2020-04-07,7693.0,591.0,
2020-04-08,8419.0,687.0,
2020-04-09,9141.0,793.0,
2020-04-10,9685.0,870.0,
2020-04-11,10151.0,887.0,
2020-04-12,10483.0,899.0,
2020-04-13,10948.0,919.0,
2020-04-14,11445.0,1033.0,
2020-04-15,11927.0,1203.0,
2020-04-16,12540.0,1333.0,
2020-04-17,13216.0,1400.0,
2020-04-18,13822.0,1511.0,
2020-04-19,14385.0,1540.0,
2020-04-20,14777.0,1580.0,
2020-04-21,15322.0,1765.0,
2020-04-22,16004.0,1937.0,
2020-04-23,16755.0,2021.0,
2020-04-24,16755.0,2021.0,
2020-04-25,18177.0,2192.0,
2020-04-26,18640.0,2194.0,
2020-04-27,18926.0,2274.0,
2020-04-28,19621.0,2355.0,
2020-04-29,20302.0,2462.0,
2020-04-30,21092.0,2586.0,
2020-05-01,21520.0,2653.0,
2020-05-02,22082.0,2669.0,
2020-05-03,22317.0,2679.0,
2020-05-04,22721.0,2769.0,
2020-05-05,23216.0,2854.0,
2020-05-06,23918.0,2941.0,
2020-05-07,24623.0,3040.0,
2020-05-08,25265.0,3175.0,
2020-05-09,25921.0,3220.0,
2020-05-10,26322.0,3225.0,
2020-05-11,26670.0,3256.0,
2020-05-12,27272.0,3313.0,
2020-05-13,27909.0,3460.0,
2020-05-14,28582.0,3529.0,
2020-05-15,29207.0,3646.0,
2020-05-16,29677.0,3674.0,
2020-05-17,30143.0,3679.0,
2020-05-18,30377.0,3698.0,
2020-05-19,30799.0,3743.0,
2020-05-20,31523.0,3831.0,
2020-05-21,32172.0,3871.0,
2020-05-22,32809.0,3925.0,
2020-05-23,33188.0,3992.0,
2020-05-24,33459.0,3998.0,
2020-05-25,33843.0,4029.0,
2020-05-26,34440.0,4125.0,
2020-05-27,35088.0,4220.0,
2020-05-28,35727.0,4266.0,
2020-05-29,36476.0,4350.0,
2020-05-30,37113.0,4395.0,
2020-05-31,37542.0,4395.0,
2020-06-01,37814.0,4403.0,
2020-06-02,38589.0,4468.0,
2020-06-03,40803.0,4542.0,
2020-06-04,41883.0,4562.0,
2020-06-05,42939.0,4639.0,
2020-06-06,43887.0,4656.0,
2020-06-07,44730.0,4659.0,
2020-06-08,45133.0,4694.0,
2020-06-09,45924.0,4717.0,
2020-06-10,46814.0,4795.0,
2020-06-11,48288.0,4814.0,
2020-06-12,49684.0,4854.0,
2020-06-13,50931.0,4874.0,
2020-06-14,51614.0,4874.0,
2020-06-15,52383.0,4891.0,
2020-06-16,53323.0,4939.0,
2020-06-17,54562.0,5041.0,
2020-06-18,56043.0,5053.0,
2020-06-19,56043.0,5053.0,
2020-06-20,56043.0,5053.0,
2020-06-21,56043.0,5053.0,
2020-06-22,58932.0,5122.0,
2020-06-23,60837.0,5161.0,
2020-06-24,62324.0,5209.0,
2020-06-25,63890.0,5230.0,
2020-06-26,65137.0,5280.0,
2020-06-27,65137.0,5280.0,
2020-06-28,65137.0,5280.0,
2020-06-29,67667.0,5310.0,
2020-06-30,68451.0,5333.0,
2020-07-01,69692.0,5370.0,
2020-07-02,70639.0,5411.0,
2020-07-03,71419.0,5420.0,
2020-07-04,71419.0,5420.0,
2020-07-05,71419.0,5420.0,
2020-07-06,73061.0,5433.0,
2020-07-07,73344.0,5447.0,
2020-07-08,73858.0,5482.0,
2020-07-09,74333.0,5500.0,
2020-07-10,74898.0,5526.0,
2020-07-11,74898.0,5526.0,
