dates,SouthAfrica.JHU_ConfirmedCases.data,SouthAfrica.JHU_ConfirmedDeaths.data,SouthAfrica.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,0.0,0.0,
2020-02-26,0.0,0.0,
2020-02-27,0.0,0.0,
2020-02-28,0.0,0.0,
2020-02-29,0.0,0.0,
2020-03-01,0.0,0.0,
2020-03-02,0.0,0.0,
2020-03-03,0.0,0.0,
2020-03-04,0.0,0.0,
2020-03-05,1.0,0.0,
2020-03-06,1.0,0.0,
2020-03-07,1.0,0.0,
2020-03-08,3.0,0.0,
2020-03-09,3.0,0.0,
2020-03-10,7.0,0.0,
2020-03-11,13.0,0.0,
2020-03-12,17.0,0.0,
2020-03-13,24.0,0.0,
2020-03-14,38.0,0.0,
2020-03-15,51.0,0.0,
2020-03-16,62.0,0.0,
2020-03-17,62.0,0.0,
2020-03-18,116.0,0.0,
2020-03-19,150.0,0.0,
2020-03-20,202.0,0.0,
2020-03-21,240.0,0.0,
2020-03-22,274.0,0.0,
2020-03-23,402.0,0.0,
2020-03-24,554.0,0.0,
2020-03-25,709.0,0.0,
2020-03-26,927.0,0.0,
2020-03-27,1170.0,1.0,
2020-03-28,1187.0,1.0,
2020-03-29,1280.0,2.0,
2020-03-30,1326.0,3.0,
2020-03-31,1353.0,5.0,
2020-04-01,1380.0,5.0,
2020-04-02,1462.0,5.0,
2020-04-03,1505.0,9.0,
2020-04-04,1585.0,9.0,
2020-04-05,1655.0,11.0,
2020-04-06,1686.0,12.0,
2020-04-07,1749.0,13.0,
2020-04-08,1845.0,18.0,
2020-04-09,1934.0,18.0,
2020-04-10,2003.0,24.0,
2020-04-11,2028.0,25.0,
2020-04-12,2173.0,25.0,
2020-04-13,2272.0,27.0,
2020-04-14,2415.0,27.0,
2020-04-15,2506.0,34.0,
2020-04-16,2605.0,48.0,
2020-04-17,2783.0,50.0,
2020-04-18,3034.0,52.0,
2020-04-19,3158.0,54.0,
2020-04-20,3300.0,58.0,
2020-04-21,3465.0,58.0,
2020-04-22,3635.0,65.0,
2020-04-23,3953.0,75.0,
2020-04-24,3953.0,75.0,
2020-04-25,4361.0,86.0,
2020-04-26,4546.0,87.0,
2020-04-27,4793.0,90.0,
2020-04-28,4996.0,93.0,
2020-04-29,5350.0,103.0,
2020-04-30,5647.0,103.0,
2020-05-01,5951.0,116.0,
2020-05-02,6336.0,123.0,
2020-05-03,6783.0,131.0,
2020-05-04,7220.0,138.0,
2020-05-05,7572.0,148.0,
2020-05-06,7808.0,153.0,
2020-05-07,8232.0,161.0,
2020-05-08,8895.0,178.0,
2020-05-09,9420.0,186.0,
2020-05-10,10015.0,194.0,
2020-05-11,10652.0,206.0,
2020-05-12,11350.0,206.0,
2020-05-13,12074.0,219.0,
2020-05-14,12739.0,238.0,
2020-05-15,13524.0,247.0,
2020-05-16,14355.0,261.0,
2020-05-17,15515.0,264.0,
2020-05-18,16433.0,286.0,
2020-05-19,17200.0,312.0,
2020-05-20,18003.0,339.0,
2020-05-21,19137.0,369.0,
2020-05-22,20125.0,397.0,
2020-05-23,21343.0,407.0,
2020-05-24,22583.0,429.0,
2020-05-25,23615.0,481.0,
2020-05-26,24264.0,524.0,
2020-05-27,25937.0,552.0,
2020-05-28,27403.0,577.0,
2020-05-29,29240.0,611.0,
2020-05-30,30967.0,643.0,
2020-05-31,32683.0,683.0,
2020-06-01,34357.0,705.0,
2020-06-02,35812.0,755.0,
2020-06-03,37525.0,792.0,
2020-06-04,40792.0,848.0,
2020-06-05,43434.0,908.0,
2020-06-06,45973.0,952.0,
2020-06-07,48285.0,998.0,
2020-06-08,50879.0,1080.0,
2020-06-09,52991.0,1162.0,
2020-06-10,55421.0,1210.0,
2020-06-11,58568.0,1284.0,
2020-06-12,61927.0,1354.0,
2020-06-13,65736.0,1423.0,
2020-06-14,70038.0,1480.0,
2020-06-15,73533.0,1568.0,
2020-06-16,76334.0,1625.0,
2020-06-17,80412.0,1674.0,
2020-06-18,83890.0,1737.0,
2020-06-19,87715.0,1831.0,
2020-06-20,92681.0,1877.0,
2020-06-21,97302.0,1930.0,
2020-06-22,101590.0,1991.0,
2020-06-23,106108.0,2102.0,
2020-06-24,111796.0,2205.0,
2020-06-25,118375.0,2292.0,
2020-06-26,124590.0,2340.0,
2020-06-27,131800.0,2413.0,
2020-06-28,138134.0,2456.0,
2020-06-29,144264.0,2529.0,
2020-06-30,151209.0,2657.0,
2020-07-01,159333.0,2749.0,
2020-07-02,168061.0,2844.0,
2020-07-03,177124.0,2952.0,
2020-07-04,187977.0,3026.0,
2020-07-05,196750.0,3199.0,
2020-07-06,205721.0,3310.0,
2020-07-07,215855.0,3502.0,
2020-07-08,224665.0,3602.0,
2020-07-09,238339.0,3720.0,
2020-07-10,250687.0,3860.0,
2020-07-11,264184.0,3971.0,
2020-07-12,276242.0,4079.0,
2020-07-13,287796.0,4172.0,
2020-07-14,298292.0,4346.0,
2020-07-15,311049.0,4453.0,
2020-07-16,324221.0,4669.0,
2020-07-17,337594.0,4804.0,
2020-07-18,350879.0,4948.0,
2020-07-19,364328.0,5033.0,
2020-07-20,373628.0,5173.0,
2020-07-21,381798.0,5368.0,
2020-07-22,394948.0,5940.0,
2020-07-23,408052.0,6093.0,
2020-07-24,421996.0,6343.0,
2020-07-25,434200.0,6655.0,
2020-07-26,445433.0,6769.0,
2020-07-27,452529.0,7067.0,
2020-07-28,459761.0,7257.0,
2020-07-29,471123.0,7497.0,
2020-07-30,482169.0,7812.0,
2020-07-31,493183.0,8005.0,
2020-08-01,503290.0,8153.0,
2020-08-02,511485.0,8366.0,
